% interestacl94stopwords.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword String
@attribute nextword String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag String
@attribute nexttag String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'par','X','every','payment','date','X','NN','X','DT','NN','NN','X','interest6'
'coX','also','disclosed','selling','caldor','venture','NP','RB','VBN','VBG','NP','NP','interest1'
'businesses','uXkX','retailing','existing','shareholders','issues','NNS','NP','VBG','VBG','NNS','NNS','interest5'
'%','limited','partner','kaneb','pipe','line','NN','VBD','NN','NP','NP','NP','interest5'
'NULL','NULL','short','large','small','nasdaq','NULL','NULL','JJ','JJ','JJ','NP','interest5'
'rise','otc','short','posted','last','month','NN','NP','JJ','VBD','JJ','NN','interest5'
'NULL','NULL','short','rose','1','%','NULL','NULL','JJ','VBD','AB','NN','interest5'
'advance','otc','short','latest','month','compares','NN','NP','JJ','JJS','NN','VBZ','interest5'
'%','decline','short','new','york','stock','NN','NN','JJ','NP','NP','NP','interest5'
'issues','X','short','acclaim','entertainment','ballooned','NNS','X','JJ','NP','NP','VBD','interest5'
'NULL','NULL','short','first','executive','X','NULL','NULL','JJ','NP','NP','X','interest5'
'medical','saw','short','jump','77','%','NP','VBD','JJ','NN','AB','NN','interest5'
'NULL','NULL','short','novell','X','jaguar','NULL','NULL','JJ','NP','X','NP','interest5'
'NULL','NULL','short','number','shares','borrowed','NULL','NULL','JJ','NN','NNS','VBN','interest5'
'although','surge','short','indicates','speculation','stock','IN','NN','JJ','VBZ','NN','NN','interest5'
'firm','base','short','healthy','X','shares','JJ','NN','JJ','JJ','X','NNS','interest5'
'X','compiles','short','data','two','categories','X','VBZ','JJ','NNS','AB','NNS','interest5'
'15','X','short','2X391','national','market','AB','X','JJ','AB','NP','NP','interest5'
'system','X','short','totaled','nearly','38','NP','X','JJ','VBD','RB','AB','interest5'
'show','issues','short','position','least','50X000','VBP','NNS','JJ','NN','JJS','AB','interest5'
'X','said','immediate','buying','foreign','studio','X','VBD','JJ','VBG','JJ','NN','interest1'
'computer','installations','conflict','audit','work','X','NN','NNS','NN','NN','NN','X','interest4'
'NULL','X','nXt','acquiring','phone','system','NULL','X','RB','VBG','NN','NN','interest1'
'NULL','NULL','NULL','rates','full','percentage','NULL','NULL','NULL','NNS','JJ','NN','interest6'
'NULL','NULL','average','rate','30Xyear','fixedXrate','NULL','NULL','JJ','NN','JJ','JJ','interest6'
'NULL','NULL','NULL','rates','general','expected','NULL','NULL','NULL','NNS','JJ','VBN','interest6'
'dollars','month','X','rates','climbed','steadily','NNS','NN','X','NNS','VBD','RB','interest6'
'hire','lawyers','represent','face','additional','charge','VBP','NNS','VB','VBP','JJ','NN','interest4'
'Xs','going','happen','rates','X','NULL','VBZ','VBG','VB','NNS','X','NULL','interest6'
'strong','economy','keep','rates','falling','X','JJ','NN','VB','NNS','VBG','X','interest6'
'better','deal','later','rates','fall','X','JJR','NN','RB','NNS','VBP','X','interest6'
'paid','significantly','less','would','fixed','rate','VBN','RB','JJR','MD','VBN','NN','interest6'
'lot','comes','think','rates','headed','X','NN','VBZ','VBP','NNS','VBN','X','interest6'
'25X77','%','equity','block','21024a','northern','AB','NN','NN','NP','NP','JJ','interest5'
'banks','X','base','rates','remain','14','NNS','POS','NN','NNS','VB','AB','interest6'
'british','government','raised','rates','10','times','JJ','NN','VBN','NNS','AB','NNS','interest6'
'nigel','lawson','reiterated','rates','remain','X','NP','NP','VBD','NNS','VB','X','interest6'
'prompt','government','raise','rates','X','NULL','VB','NN','VB','NNS','X','NULL','interest6'
'X','particularly','higher','rates','could','raise','X','RB','JJR','NNS','MD','VB','interest6'
'indicators','respond','high','rates','X','NULL','NNS','VB','JJ','NNS','X','NULL','interest6'
'NULL','NULL','annualized','rates','certain','investments','NULL','NULL','VBN','NNS','JJ','NNS','interest6'
'never','received','promised','payments','X','NULL','RB','VBD','VBN','NNS','X','NULL','interest6'
'NULL','NULL','exchange','smallest','loan','X','NULL','NULL','NN','JJS','NN','X','interest6'
'domestic','cellular','telephone','bellsouth','X','NULL','JJ','JJ','NN','NP','X','NULL','interest5'
'venice','magistrate','Xs','understandable','X','NULL','NP','NN','POS','JJ','X','NULL','interest1'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'connX','X','concern','many','businesses','including','NP','X','NN','JJ','NNS','VBG','interest5'
'also','carrying','lower','rate','ranking','higher','RB','VBG','JJR','NN','VBG','JJR','interest6'
'senior','debt','X','currently','payable','X','JJ','NN','X','RB','JJ','X','interest6'
'securities','X','pay','form','additional','securities','NNS','X','VBP','NN','JJ','NNS','interest6'
'reserve','might','allow','rates','fall','X','NP','MD','VB','NNS','VB','X','interest6'
'nXt','tolerate','rise','rates','X','NULL','RB','VB','NN','NNS','X','NULL','interest6'
'market','X','higher','rates','seem','likely','NN','X','JJR','NNS','VBP','JJ','interest6'
'country','catch','overdue','payments','X','bankers','NN','VB','JJ','NNS','X','NNS','interest6'
'700','million','behind','payments','commercialXbank','creditors','AB','AB','IN','NNS','JJ','NNS','interest6'
'options','reducing','debt','X','according','bankers','NNS','VBG','NN','X','VBG','NNS','interest6'
'cut','foreignXbank','debt','payments','X','NULL','NN','JJ','NN','NNS','X','NULL','interest6'
'X','publisher','special','magazines','X','NULL','X','NN','JJ','NNS','X','NULL','interest3'
'law','firms','X','europe','generated','lively','NN','NNS','POS','NP','VBN','JJ','interest1'
'bank','Xs','longXterm','china','X','NULL','NN','POS','JJ','NP','X','NULL','interest4'
'weber','Xs','conflict','never','disclosed','mrX','NP','POS','NN','RB','VBN','NP','interest4'
'X','oryx','sold','107','oil','gas','X','NP','VBD','AB','NN','NN','interest5'
'except','trading','euroyen','rate','futures','contract','IN','VBG','NP','NN','NNS','NN','interest6'
'several','bidders','expressed','buying','delaware','X','JJ','NNS','VBD','VBG','NP','CC','interest1'
'bank','wertheim','schroder','X','NULL','NULL','NN','NP','NP','X','NULL','NULL','interest5'
'lower','shortXterm','domestic','rates','higher','bond','JJR','JJ','JJ','NNS','JJR','NN','interest6'
'currency','fluctuations','higher','rates','X','traders','NN','NNS','JJR','NNS','X','NNS','interest6'
'continued','receive','buying','following','friday','Xs','VBD','VB','NN','VBG','NP','POS','interest1'
'london','declined','lack','fresh','positions','ahead','NP','VBD','NN','JJ','NNS','RB','interest1'
'X','continued','lively','foreign','investors','hoping','X','VBD','JJ','JJ','NNS','VBG','interest1'
'result','apparent','reprieve','rate','speculation','X','NN','JJ','NN','NN','NN','X','interest6'
'NULL','paris','X','rate','concerns','acted','NULL','NP','X','NN','NNS','VBD','interest6'
'sign','higher','european','rates','near','term','NN','JJR','JJ','NNS','JJ','NN','interest6'
'publishing','company','certain','X','NULL','NULL','NN','NN','JJ','X','NULL','NULL','interest5'
'X','payments','minority','X','jumped','1X729','X','NNS','NN','X','VBD','AB','interest5'
'15','%','voting','united','X','X','AB','NN','NN','NP','X','X','interest5'
'NULL','washington','X','building','capitol','hill','NULL','NP','X','VBG','NP','NP','interest1'
'great','care','public','served','X','sentence','JJ','NN','JJ','VBN','X','NN','interest4'
'bank','might','raise','rates','X','NULL','NN','MD','VB','NNS','X','NULL','interest6'
'X','uXsX','inflationXadjusted','rates','high','compared','X','NP','JJ','NNS','JJ','VBN','interest6'
'bring','dollar','lowering','rates','clearly','nXt','VB','NN','VBG','NNS','RB','RB','interest6'
'nXt','raise','domestic','rates','uXsX','lowers','RB','VB','JJ','NNS','NP','VBZ','interest6'
'X','60','%','cit','group','X','X','AB','NN','NP','NP','X','interest5'
'diversify','beyond','snackXfood','X','NULL','NULL','VB','IN','NN','X','NULL','NULL','interest5'
'NULL','X','growing','among','precious','metals','NULL','X','VBG','IN','JJ','NNS','interest1'
'includes','35','%','bought','publicly','traded','VBZ','AB','NN','VBD','RB','JJ','interest5'
'%','quadrum','X','financial','services','telecommunications','NN','NP','X','JJ','NNS','NN','interest5'
'bigger','swap','markets','rates','currencies','X','JJR','NN','NNS','NNS','NNS','X','interest6'
'dampen','foreign','buying','X','NULL','NULL','VB','JJ','NN','X','NULL','NULL','interest1'
'might','seen','emerging','twoXyear','fourXyear','note','MD','VBN','VBG','JJ','JJ','NN','interest1'
'X','show','strong','twoXyear','notes','X','X','VB','JJ','JJ','NNS','X','interest1'
'said','saw','lot','lomas','paper','yesterday','VBD','VBD','NN','NP','NN','NN','interest1'
'central','bank','raise','rates','sometime','next','JJ','NN','VB','NNS','RB','JJ','interest6'
'several','companies','expressed','buying','unit','X','JJ','NNS','VBN','VBG','NN','X','interest1'
'mrX','oakes','said','insurers','showed','monarch','NP','NP','VBD','NNS','VBN','NP','interest1'
'dames','actively','maintain','X','160','come','NPS','RB','VBP','X','AB','VBP','interest5'
'proposes','beautiful','love','drX','kulani','X','VBZ','JJ','NN','NP','NP','X','interest3'
'accommodates','individual','abilities','X','aspiring','poet','VBZ','JJ','NNS','X','JJ','NN','interest3'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'includes','outlays','except','payments','X','climbed','VBZ','NNS','IN','NNS','X','VBD','interest6'
'1988','unable','meet','payments','X','1X72','AB','JJ','VB','NNS','X','AB','interest6'
'support','north','american','unilateralist','tendencies','british','NN','JJ','JJ','JJ','NNS','JJ','interest4'
'boost','manufacturing','marketing','X','NULL','NULL','NN','NN','NN','X','NULL','NULL','interest5'
'like','fed','bring','rates','little','bit','VB','NP','VB','NNS','JJ','NN','interest6'
'slump','primarily','high','rates','reduced','consumer','NN','RB','JJ','NNS','JJ','NN','interest6'
'boston','earning','healthy','rate','campeauXrelated','bonds','NP','VBG','JJ','NN','JJ','NNS','interest6'
'market','rumors','possible','jaguar','X','NULL','NN','NNS','JJ','NP','X','NULL','interest1'
'clear','Xs','social','stop','shifting','around','JJ','VBZ','JJ','VB','VBG','RB','interest4'
'thought','5','%','rate','bonds','would','VBD','AB','NN','NN','NNS','MD','interest6'
'consumer','Xs','best','X','NULL','NULL','NN','POS','JJS','X','NULL','NULL','interest4'
'peru','could','resume','payments','X','500','NP','MD','VB','NNS','X','AB','interest6'
'X','representation','local','congress','political','parties','X','NN','JJ','NP','JJ','NNS','interest4'
'NULL','say','local','receive','hearing','congress','NULL','VB','JJ','VBP','NN','NP','interest4'
'unilever','longer','financial','agency','X','far','NP','RB','JJ','NN','X','RB','interest5'
'carry','either','belowXmarket','rate','discount','value','VB','CC','JJ','NN','NN','NN','interest6'
'government','reduce','high','rates','pay','keep','NN','VB','JJ','NNS','VB','VB','interest6'
'NULL','nonetheless','X','rates','remain','high','NULL','RB','X','NNS','VBP','JJ','interest6'
'12','years','without','X','NULL','NULL','AB','NNS','IN','X','NULL','NULL','interest6'
'fiveXyear','agreement','acquire','cooker','participate','proxy','JJ','NN','VB','NP','VB','JJ','interest5'
'spain','fund','attracted','japanese','X','NULL','NP','NP','VBN','NPS','X','NULL','interest1'
'activity','also','sparked','big','board','X','NN','RB','VBN','NP','NP','X','interest1'
'acquire','15','%','sybase','incX','X','VB','AB','NN','NP','NP','X','interest5'
'X','acquired','minority','another','closely','held','X','VBD','NN','DT','RB','VBN','interest5'
'nXt','fired','X','payments','nXt','go','RB','VBN','X','NNS','RB','VB','interest6'
'fed','quick','cut','rates','summer','job','NP','JJ','VB','NNS','NN','NN','interest6'
'would','bring','higher','rates','X','would','MD','VB','JJR','NNS','X','MD','interest6'
'X','shareholders','X','X','new','rights','X','NNS','POS','X','JJ','NNS','interest4'
'disputes','principally','compounding','divestiture','nonXbanking','subsidiaries','NNS','RB','NN','NN','JJ','NNS','interest6'
'follow','small','increases','rates','X','NULL','VBP','JJ','NNS','NNS','X','NULL','interest6'
'smaller','videoXdistribution','film','netherlands','X','luxembourg','JJR','NN','NN','NP','X','NP','interest5'
'plus','accrued','unpaid','redemption','date','X','CC','JJ','JJ','NN','NN','X','interest6'
'NULL','speculation','widespread','rates','drop','next','NULL','NN','JJ','NNS','VB','JJ','interest6'
'managers','expect','lower','rates','fall','X','NNS','VBP','JJR','NNS','NN','X','interest6'
'worry','high','uXsX','rates','keeping','dollar','VBP','JJ','NP','NNS','VBG','NN','interest6'
'X','predicting','lower','rates','next','months','X','VBG','JJR','NNS','JJ','NNS','interest6'
'reason','expect','lower','rates','low','moneyXsupply','NN','VBP','JJR','NNS','RB','JJ','interest6'
'inflation','would','drive','rates','X','NULL','NN','MD','VB','NNS','X','NULL','interest6'
'X','traders','fear','rates','nowhere','go','X','NNS','VBP','NNS','RB','VB','interest6'
'NULL','contrarians','right','rates','soon','rise','NULL','NNS','JJ','NNS','RB','VB','interest6'
'fact','Xre','appreciative','shown','X','NULL','NN','VBP','JJ','VBN','X','NULL','interest1'
'sensitivity','shareholder','employee','X','NULL','NULL','NN','NN','NN','X','NULL','NULL','interest4'
'also','failed','pay','due','septX','1','RB','VBD','VB','JJ','NP','AB','interest6'
'deal','treated','pooling','X','combines','income','NN','VBN','NN','X','VBZ','NN','interest5'
'proposal','acquire','controlling','implement','reorganization','company','NN','VB','JJ','VB','NN','NN','interest5'
'nXt','exhibited','exceptional','helping','shareholders','X','RB','VBD','JJ','VBG','NNS','X','interest1'
'upturn','inflation','lowered','rates','X','NULL','NN','NN','VBD','NNS','X','NULL','interest6'
'upturn','inflation','lowered','rates','X','NULL','NN','NN','VBD','NNS','X','NULL','interest6'
'federal','reserve','cut','rates','reduce','upward','NP','NP','VB','NNS','VB','JJ','interest6'
'NULL','NULL','absence','rate','changes','X','NULL','NULL','NN','NN','NNS','X','interest6'
'resigned','X','pursue','X','NULL','NULL','VBD','X','VB','X','NULL','NULL','interest3'
'million','shares','beneficial','X','via','prudentialXbache','AB','NNS','JJ','X','IN','NP','interest5'
'senior','limited','partnership','X','via','goldman','JJ','NP','NP','X','IN','NP','interest5'
'15','%','voting','united','X','equity','AB','NN','JJ','NP','X','NN','interest5'
'X','17X33','billion','last','month','federal','X','AB','AB','JJ','NN','JJ','interest6'
'X','sold','half','mitsubishi','motors','corpX','X','VBD','NN','NP','NPS','NP','interest5'
'accumulating','legal','fees','judgment','X','NULL','VBG','JJ','NNS','NN','X','NULL','interest6'
'sold','45','%','korea','industrial','leasing','VBD','AB','NN','NP','NP','NP','interest5'
'seeking','buyer','equity','acquired','X','NULL','VBG','NN','NN','VBD','X','NULL','interest5'
'NULL','NULL','investor','summit','technology','X','NULL','NULL','NN','NP','NP','X','interest1'
'NULL','gm','raised','rates','cutXrate','auto','NULL','NP','VBN','NNS','JJ','NN','interest6'
'NULL','NULL','investor','mainly','targeted','issues','NULL','NULL','NN','RB','VBN','NNS','interest1'
'rate','directions','domestic','rates','X','institutional','NN','NNS','JJ','NNS','X','JJ','interest6'
'X','X','keeping','rates','high','finance','X','X','VBG','NNS','JJ','VB','interest6'
'areas','essential','national','concentrating','making','work','NNS','JJ','JJ','VBG','VBG','VB','interest4'
'attacking','long','entrenched','X','something','politicians','VBG','RB','VBN','X','NN','NNS','interest4'
'rise','west','german','rates','X','said','NN','JJ','JJ','NNS','X','VBD','interest6'
'slowly','forcing','market','rates','summer','X','RB','VBG','NN','NNS','NN','X','interest6'
'said','west','german','rates','still','well','VBD','JJ','JJ','NNS','RB','RB','interest6'
'u','west','purchased','uXkX','cable','company','NP','NP','VBD','NP','NN','NN','interest5'
'nXt','interpreted','lack','international','markets','X','RB','VBN','NN','JJ','NNS','X','interest1'
'X','Xd','protect','X','NULL','NULL','X','MD','VB','X','NULL','NULL','interest4'
'income','payments','minority','rose','15','%','NN','NNS','NN','VBD','AB','NN','interest5'
'reserve','move','let','rates','fall','late','NP','NN','VB','NNS','VB','JJ','interest6'
'fed','steadily','pushed','rates','curb','economic','NP','RB','VBD','NNS','VB','JJ','interest6'
'profit','payments','minority','nearly','tripled','first','NN','NNS','NN','RB','VBD','JJ','interest5'
'ratings','X','look','rate','X','unsound','NNS','X','NN','NN','X','JJ','interest6'
'NULL','NULL','NULL','rates','fluctuate','time','NULL','NULL','NULL','NNS','VB','NN','interest6'
'continued','pay','principal','never','went','default','VBD','VB','NN','RB','VBD','NN','interest6'
'elected','director','concern','engineering','financial','services','VBN','NN','NN','NN','JJ','NNS','interest5'
'said','X','would','done','X','NULL','VBD','X','MD','VBN','X','NULL','interest4'
'intek','holding','company','coating','products','static','NP','VBG','NN','NN','NNS','JJ','interest5'
'campaign','continued','generate','X','NULL','NULL','NN','VBN','VB','X','NULL','NULL','interest1'
'traders','said','retail','bonds','dried','price','NNS','VBD','JJ','NNS','VBN','NN','interest1'
'Xve','determined','best','shareholders','employees','resign','VBP','VBN','JJS','NNS','NNS','VBP','interest4'
'bond','position','rising','rates','1987','hope','NN','NN','VBG','NNS','AB','NN','interest6'
'general','signal','X','process','control','X','NP','NP','X','NN','NN','X','interest5'
'X','multinational','giant','including','communications','X','X','JJ','NN','VBG','NNS','X','interest5'
'practices','note','settlement','X','X','mrX','NNS','VB','NN','X','X','NP','interest1'
'endanger','X','supreme','X','may','withdraw','VBP','X','NN','X','MD','VB','interest4'
'NULL','NULL','short','month','ended','septX','NULL','NULL','JJ','NN','VBD','NP','interest5'
'board','X','short','slipped','547X347X585','shares','NP','X','JJ','VBD','AB','NNS','interest5'
'amex','X','short','reached','51X887X168','shares','NP','X','JJ','VBD','AB','NNS','interest5'
'NULL','NULL','short','number','shares','nXt','NULL','NULL','JJ','NN','NNS','RB','interest5'
'consider','increase','short','bullish','borrowed','shares','VBP','NN','JJ','JJ','VBN','NNS','interest5'
'NULL','fluctuation','short','certain','stocks','also','NULL','NN','JJ','JJ','NNS','RB','interest5'
'big','board','short','ratio','rose','3X38','NP','NP','JJ','NN','VBD','AB','interest5'
'convert','total','short','position','X','NULL','VB','JJ','JJ','NN','X','NULL','interest5'
'board','drop','short','volume','panhandle','eastern','NP','NN','JJ','NN','NP','NP','interest5'
'amex','issues','short','position','least','100X000','NP','NNS','JJ','NN','JJS','AB','interest5'
'would','take','special','X','NULL','NULL','MD','VB','JJ','X','NULL','NULL','interest1'
'income','payments','minority','rose','15','%','NN','NNS','NN','VBD','AB','NN','interest5'
'X','high','uXkX','rates','rising','imports','X','JJ','NP','NNS','VBG','NNS','interest6'
'1X77','billion','earnings','X','taxes','depreciation','AB','AB','NNS','X','NNS','NN','interest6'
'NULL','NULL','net','expenses','X','238','NULL','NULL','JJ','NNS','X','AB','interest6'
'belowXmarket','6X25','%','rate','X','NULL','JJ','AB','NN','NN','X','NULL','interest6'
'well','unemployment','outrank','rates','economic','concerns','RB','NN','VBP','NNS','JJ','NNS','interest6'
'voters','X','wide','nXt','reflected','calls','NNS','POS','JJ','RB','VBN','VBZ','interest3'
'reserves','X','minority','X','preferred','stock','NNS','X','NN','X','VBN','NN','interest5'
'company','Xs','longXterm','remain','independent','X','NN','POS','JJ','VB','JJ','X','interest4'
'ford','motor','Xs','jaguar','continued','stir','NP','NP','POS','NP','VBD','VB','interest1'
'jaguar','continued','stir','foreign','car','maker','NP','VBD','VB','JJ','NN','NN','interest1'
'federal','reserve','lower','rates','X','move','NP','NP','JJR','NNS','X','NN','interest6'
'XinterestXrate','cut','boosting','rates','time','X','NN','NN','VBG','NNS','NN','X','interest6'
'uncertainties','currencies','domestic','rates','remained','strong','NNS','NNS','JJ','NNS','VBD','JJ','interest6'
'movement','west','germany','rates','X','feared','NN','NP','NP','NNS','X','VBN','interest6'
'ford','motor','announced','earlier','week','X','NP','NP','VBD','RBR','NN','X','interest1'
'received','15','%','X','valued','X','VBD','AB','NN','X','VBN','X','interest5'
'X','painewebber','Xs','business','hud','X','X','NP','POS','NN','NP','X','interest1'
'concerned','possible','conflict','X','painewebber','representing','VBN','JJ','NN','X','NP','VBG','interest4'
'asserting','X','conflict','arise','X','NULL','VBG','X','NN','VB','X','NULL','interest4'
'ginnie','mae','X','preserving','lowXincome','housing','NP','NP','X','VBG','JJ','NN','interest4'
'NULL','federal','pay','money','borrowed','connection','NULL','NP','VB','NN','VBN','NN','interest6'
'decision','leave','german','rates','unchanged','news','NN','VB','JJ','NNS','JJ','NN','interest6'
'bundesbank','raise','german','rates','gX7','gathering','NP','VB','JJ','NNS','NP','NN','interest6'
'domestic','cellular','telephone','bellsouth','move','aimed','JJ','JJ','NN','NP','NN','VBN','interest5'
'bundesbank','left','important','rates','unchanged','X','NP','VBD','JJ','NNS','JJ','X','interest6'
'bank','eventually','push','rates','higher','X','NN','RB','VB','NNS','JJR','X','interest6'
'said','based','X','indicated','X','parties','VBD','VBN','X','VBN','X','NNS','interest1'
'million','week','comes','credited','funds','individual','AB','NN','VBZ','VBN','NNS','JJ','interest6'
'X','X','pursue','X','NULL','NULL','X','X','VB','X','NULL','NULL','interest3'
'NULL','NULL','westinghouse','electrical','products','X','NULL','NULL','NP','JJ','NNS','X','interest5'
'feel','Xs','best','aXm','Xs','future','VBP','VBZ','JJS','NP','POS','NN','interest4'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'kravis','roberts','missed','payments','bonds','X','NP','NP','VBN','NNS','NNS','X','interest6'
'NULL','fees','larger','rates','1','12','NULL','NNS','JJR','NNS','AB','AB','interest6'
'disastrous','wrongXway','bet','rates','X','X','JJ','JJ','NN','NNS','X','X','interest6'
'reduce','debt','cut','expense','X','slash','VB','NN','VB','NN','X','VB','interest6'
'big','board','short','fell','1X3','%','NP','NP','JJ','VBD','AB','NN','interest5'
'NULL','NULL','hanson','chemicals','X','restaurants','NULL','NULL','NP','NNS','X','NNS','interest5'
'purchased','32','%','X','NULL','NULL','VBD','AB','NN','X','NULL','NULL','interest5'
'officer','wednesday','pursue','X','NULL','NULL','NN','NP','VB','X','NULL','NULL','interest3'
'NULL','X','common','common','ownership','supersede','NULL','X','JJ','JJ','NN','VB','interest4'
'lend','us','money','rates','X','NULL','VB','PP','NN','NNS','X','NULL','interest6'
'X','purchased','oneXthird','new','japan','radio','X','VBN','JJ','NP','NP','NP','interest5'
'marriott','X','also','restaurants','contractXfood','services','NP','X','RB','NNS','NN','NNS','interest5'
'industrial','conglomerate','whose','steel','X','electronics','JJ','NN','WPX','NN','X','NN','interest5'
'expected','generate','wide','much','publicity','recent','VBN','VB','JJ','JJ','NN','JJ','interest1'
'sufficient','data','support','opportunity','X','NULL','JJ','NN','VB','NN','X','NULL','interest1'
'struck','consumers','X','getting','old','drugs','VBN','NNS','POS','VBG','JJ','NNS','interest4'
'old','drugs','cheaply','seeing','new','drugs','JJ','NNS','RB','VBG','JJ','NNS','interest4'
'production','costs','X','rates','threaten','growth','NN','NNS','X','NNS','VBP','NN','interest6'
'luckyXgoldstar','X','company','electronics','X','chemistry','NP','X','NN','NN','X','NN','interest5'
'project','later','sold','olympia','X','york','NN','RB','VBD','NP','CC','NP','interest5'
'also','caused','divergent','rates','X','NULL','RB','VBN','JJ','NNS','X','NULL','interest6'
'point','equality','X','rate','british','bonds','NN','NN','X','NN','JJ','NNS','interest6'
'growth','lower','nominal','rates','X','cause','NN','JJR','JJ','NNS','X','VB','interest6'
'denied','speculation','possible','jaguar','X','NULL','VBD','NN','JJ','NP','X','NULL','interest1'
'executives','acquired','controlling','quantum','1986','X','NNS','VBD','VBG','NP','AB','X','interest5'
'yorkXbased','american','home','prescription','overXtheXcounter','drugs','JJ','NP','NP','NN','JJ','NNS','interest5'
'avoid','appearance','conflict','favoritism','X','NULL','VB','NN','NN','NN','X','NULL','interest4'
'contain','news','general','home','X','NULL','VB','NN','JJ','NN','X','NULL','interest2'
'reined','inflation','sending','rates','soaring','X','VBD','NN','VBG','NNS','VBG','X','interest6'
'renegotiate','loans','lower','rates','X','NULL','VB','NNS','JJR','NNS','X','NULL','interest6'
'Xs','acquisition','minority','store','X','progress','POS','NN','NN','NN','X','NN','interest5'
'also','wanted','cap','deductions','lbo','borrowing','RB','VBD','VB','NNS','NP','NN','interest6'
'losses','high','lbo','costs','X','NULL','NNS','JJ','NP','NNS','X','NULL','interest6'
'%','principal','plus','X','NULL','NULL','NN','NN','CC','X','NULL','NULL','interest6'
'NULL','sale','equity','result','X','significant','NULL','NP','NN','VB','X','JJ','interest5'
'west','germany','boost','rates','today','X','NP','NP','VB','NNS','NN','X','interest6'
'inflationary','threats','justify','rate','increase','X','JJ','NNS','VBP','NN','NN','X','interest6'
'people','instead','peculiar','X','NULL','NULL','NNS','RB','JJ','X','NULL','NULL','interest4'
'bridge','loans','pay','rates','much','four','NN','NNS','VBP','NNS','JJ','AB','interest6'
'company','Xs','earnings','taxes','X','11','NN','POS','NNS','NNS','X','AB','interest6'
'could','difficulty','making','payments','unless','rapid','MD','NN','VBG','NNS','IN','JJ','interest6'
'company','Xs','earnings','taxes','X','NULL','NN','POS','NNS','NNS','X','NULL','interest6'
'NULL','NULL','NULL','rates','often','escalate','NULL','NULL','NULL','NNS','RB','VBP','interest6'
'recently','agreed','sell','paramount','communications','incX','RB','VBD','VB','NP','NPS','NP','interest5'
'company','considering','selling','continental','airlines','X','NN','VBG','VBG','NP','NPS','X','interest5'
'southwest','airlines','expressed','buying','share','sabre','NP','NPS','VBD','VBG','NN','NP','interest1'
'attacks','americans','american','scare','uXsX','away','NNS','NPS','JJ','VB','NP','RB','interest5'
'way','protect','uXsX','countries','bolivia','X','NN','VB','NP','NNS','NP','X','interest5'
'continue','rake','enormous','payments','X','NULL','VBP','VB','JJ','NNS','X','NULL','interest6'
'price','changes','plus','payments','X','merrill','NN','NNS','CC','NNS','X','NP','interest6'
'par','plus','accrued','X','would','occur','NN','CC','VBN','X','MD','VB','interest6'
'direction','currencies','domestic','rates','discouraged','buying','NN','NNS','JJ','NNS','VBD','NN','interest6'
'rates','discouraged','buying','X','traders','said','NNS','VBD','NN','X','NNS','VBD','interest1'
'growing','expectations','higher','rates','X','traders','VBG','NNS','JJR','NNS','X','NNS','interest6'
'banks','also','attracted','speculation','mergers','acquisitions','NNS','RB','VBN','NN','NNS','NNS','interest1'
'absence','active','institutional','X','NULL','NULL','NN','JJ','JJ','X','NULL','NULL','interest1'
'auto','maker','Xs','uXkX','concern','nXt','NN','NN','POS','NP','NN','RB','interest1'
'inflamed','concerns','possibility','rate','increase','germany','VBD','NNS','NN','NN','NN','NP','interest6'
'bank','council','raise','rates','X','traders','NN','NN','VB','NNS','X','NNS','interest6'
'rumors','massive','japanese','X','140','million','NNS','JJ','JJ','X','AB','AB','interest1'
'said','X','major','coming','individual','japanese','VBD','X','JJ','VBG','JJ','JJ','interest1'
'conlon','said','X','spain','fund','widespread','NP','VBD','X','NP','NP','JJ','interest1'
'catch','recent','dips','rates','X','NULL','VBP','JJ','NNS','NNS','X','NULL','interest6'
'since','pulled','shortXterm','rates','bit','late','IN','VBD','JJ','NNS','NN','JJ','interest6'
'NULL','lower','uXsX','rates','would','help','NULL','JJR','NP','NNS','MD','VB','interest6'
'prevalent','society','sole','promotion','travel','X','JJ','NN','JJ','NN','NN','X','interest3'
'japan','europe','expressed','plan','X','NULL','NP','NP','VBN','NN','X','NULL','interest1'
'grow','economically','meet','payments','debt','X','VB','RB','VB','NNS','NN','X','interest6'
'amount','6X25','%','rate','X','NULL','NN','AB','NN','NN','X','NULL','interest6'
'32','million','plus','dividends','X','NULL','AB','AB','CC','NNS','X','NULL','interest6'
'ltdX','mining','industrial','uXkX','X','north','NP','NN','JJ','NP','X','NP','interest5'
'warrant','another','easing','rates','fed','X','VB','DT','NN','NNS','NP','X','interest6'
'NULL','NULL','shortXterm','rates','also','rose','NULL','NULL','JJ','NNS','RB','VBD','interest6'
'sumita','refused','discuss','rates','regularly','scheduled','NP','VBD','VB','NNS','RB','VBN','interest6'
