% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'jitters','about','domestic','rates','and','the','NNS','IN','JJ','NNS','CC','DT','interest6'
'the','49','%','owned','by','cocaXcola','DT','AB','NN','VBN','IN','NP','interest5'
'it','Xs','of','to','the','inmates','PP','VBZ','IN','TO','DT','NNS','interest2'
'expected','and','their','in','buying','copper','VBN','CC','PPX','IN','VBG','NN','interest1'
'bundesbank','will','boost','rates','at','its','NP','MD','VB','NNS','IN','PPX','interest6'
'have','shown','little','in','the','bond','VBP','VBN','JJ','IN','DT','NN','interest1'
'deductibility','of','certain','payments','or','original','NN','IN','JJ','NNS','CC','JJ','interest6'
'system','Xs','main','is','to','maintain','NN','POS','JJ','VBZ','TO','VB','interest3'
'the','company','with','in','laboratory','supply','DT','NN','IN','IN','NN','NN','interest5'
'raises','its','key','rates','X','many','VBZ','PPX','JJ','NNS','X','JJ','interest6'
'operating','profits','before','during','the','quarter','NN','NNS','IN','IN','DT','NN','interest6'
'amount','plus','accrued','X','NULL','NULL','NN','CC','VBN','X','NULL','NULL','interest6'
'personal','taxes','the','on','the','borrowings','JJ','NNS','DT','IN','DT','NNS','interest6'
'is','in','the','of','the','united','VBZ','IN','DT','IN','DT','NP','interest4'
'be','in','the','of','the','united','VB','IN','DT','IN','DT','NP','interest4'
'Xs','fully','diluted','fell','to','43X2','POS','RB','JJ','VBD','TO','AB','interest5'
'83X8','%','indirect','in','ralphs','grocery','AB','NN','JJ','IN','NP','NP','interest5'
'to','campeau','bears','at','9X875','%','TO','NP','VBZ','IN','AB','NN','interest6'
'in','the','best','of','their','clients','IN','DT','JJS','IN','PPX','NNS','interest4'
'has','a','shorterXterm','X','selling','more','VBZ','DT','JJR','X','VBG','JJR','interest4'
'company','Xs','X','regarding','marine','corps','NN','POS','X','VBG','NP','NP','interest4'
'NULL','the','average','rate','rose','to','NULL','DT','JJ','NN','VBD','TO','interest6'
'and','deduct','the','paid','on','the','CC','VB','DT','VBN','IN','DT','interest6'
'reduced','their','reported','and','dividend','income','VBD','PPX','JJ','CC','NN','NN','interest6'
'the','principal','plus','is','finally','taxed','DT','NN','CC','VBZ','RB','VBN','interest6'
'X','and','all','X','will','be','X','CC','DT','X','MD','VB','interest6'
'protect','his','personal','X','NULL','NULL','VB','PPX','JJ','X','NULL','NULL','interest4'
'customers','X','best','X','by','making','NNS','POS','JJS','X','IN','VBG','interest4'
'a','67','%','X','NULL','NULL','DT','AB','NN','X','NULL','NULL','interest5'
'in','west','german','rates','X','though','IN','JJ','JJ','NNS','X','RB','interest6'
'nXt','consider','raising','rates','until','the','RB','VB','VBG','NNS','IN','DT','interest6'
'have','advocated','raising','rates','in','japan','VBP','VBN','VBG','NNS','IN','NP','interest6'
'strategy','X','domestic','rates','in','that','NN','X','JJ','NNS','IN','DT','interest6'
'X','1X6','billion','payment','to','its','X','AB','AB','NN','TO','PPX','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'pursue','other','business','X','NULL','NULL','VB','JJ','NN','X','NULL','NULL','interest3'
'pursue','other','business','X','NULL','NULL','VB','JJ','NN','X','NULL','NULL','interest3'
'terrible','conflict','of','X','among','investors','JJ','NN','IN','X','IN','NNS','interest4'
'NULL','NULL','but','is','rising','fast','NULL','NULL','CC','VBZ','VBG','RB','interest1'
'aside','from','buying','in','singleXcountry','stock','RB','IN','VBG','IN','JJ','NN','interest1'
'a','5','%','and','placing','the','DT','AB','NN','CC','VBG','DT','interest5'
'to','pay','higher','rates','than','the','TO','VB','JJR','NNS','IN','DT','interest6'
'a','rush','of','from','advertisers','in','DT','NN','IN','IN','NNS','IN','interest1'
'would','drive','up','rates','further','X','MD','VB','RP','NNS','RB','X','interest6'
'of','long','current','term','bonds','X','IN','JJ','JJ','NN','NNS','X','interest6'
'soon','consider','raising','rates','as','a','RB','VB','VBG','NNS','IN','DT','interest6'
'the','notes','drew','from','a','diverse','DT','NNS','VBD','IN','DT','JJ','interest1'
'concerns','over','uXkX','rate','increases','subsided','NNS','IN','NP','NN','NNS','VBD','interest6'
'fears','of','rising','rates','X','NULL','NNS','IN','VBG','NNS','X','NULL','interest6'
'pondering','whether','current','rates','are','consistent','VBG','IN','JJ','NNS','VBP','JJ','interest6'
'the','banks','X','margins','X','NULL','DT','NNS','POS','NNS','X','NULL','interest6'
'priority','on','lowering','rates','X','and','NN','IN','VBG','NNS','X','CC','interest6'
'to','exploit','local','to','reach','beyond','TO','VB','JJ','TO','VB','IN','interest4'
'the','same','economic','driving','mrX','wyden','DT','JJ','JJ','VBG','NP','NP','interest3'
'Xs','51','%','in','three','independent','POS','AB','NN','IN','AB','JJ','interest5'
'paper','and','retailing','X','including','saks','NN','CC','NN','X','VBG','NP','interest5'
'NULL','NULL','short','rose','2X7','%','NULL','NULL','JJ','VBD','AB','NN','interest5'
'a','belief','that','rates','will','remain','DT','NN','IN','NNS','MD','VB','interest6'
'its','43X7','%','in','leadXzinc','producer','PPX','AB','NN','IN','JJ','NN','interest5'
'and','its','controlling','in','the','goldXmining','CC','PPX','VBG','IN','DT','JJ','interest5'
'incX','X','an','that','franklin','resources','NP','X','DT','IN','NP','NPS','interest5'
'a','50','%','in','its','puna','DT','AB','NN','IN','PPX','NP','interest5'
'the','students','X','X','NULL','NULL','DT','NNS','POS','X','NULL','NULL','interest1'
'33','%','limitedXpartner','in','its','kaneb','AB','NN','JJ','IN','PPX','NP','interest5'
'X','and','pipeline','X','NULL','NULL','X','CC','NN','X','NULL','NULL','interest5'
'the','government','Xs','should','be','protected','DT','NN','POS','MD','VB','VBN','interest4'
'holding','company','with','in','broadcasting','X','VBG','NN','IN','IN','NN','X','interest5'
'to','raise','key','rates','X','NULL','TO','VB','JJ','NNS','X','NULL','interest6'
'NULL','higher','domestic','rates','usually','bolster','NULL','JJR','JJ','NNS','RB','VBP','interest6'
'a','realignment','of','rates','X','traders','DT','NN','IN','NNS','X','NNS','interest6'
'then','on','every','payment','date','X','RB','IN','DT','NN','NN','X','interest6'
'also','disclosed','its','in','selling','its','RB','VBN','PPX','IN','VBG','PPX','interest1'
'and','uXkX','retailing','to','existing','shareholders','CC','NP','VBG','TO','VBG','NNS','interest5'
'%','limited','partner','in','kaneb','pipe','NN','VBD','NN','IN','NP','NP','interest5'
'NULL','NULL','short','in','both','large','NULL','NULL','JJ','IN','DT','JJ','interest5'
'in','otc','short','posted','last','month','IN','NP','JJ','VBD','JJ','NN','interest5'
'but','while','short','rose','only','1','CC','IN','JJ','VBD','RB','AB','interest5'
'in','otc','short','in','the','latest','IN','NP','JJ','IN','DT','JJS','interest5'
'decline','in','short','on','the','new','NN','IN','JJ','IN','DT','NP','interest5'
'issues','X','short','in','acclaim','entertainment','NNS','X','JJ','IN','NP','NP','interest5'
'NULL','NULL','short','in','first','executive','NULL','NULL','JJ','IN','NP','NP','interest5'
'saw','its','short','jump','77','%','VBD','PPX','JJ','NN','AB','NN','interest5'
'NULL','NULL','short','in','novell','X','NULL','NULL','JJ','IN','NP','X','interest5'
'NULL','NULL','short','is','the','number','NULL','NULL','JJ','VBZ','DT','NN','interest5'
'surge','in','short','indicates','speculation','that','NN','IN','JJ','VBZ','NN','IN','interest5'
'base','of','short','as','healthy','X','NN','IN','JJ','IN','JJ','X','interest5'
'X','compiles','short','data','in','two','X','VBZ','JJ','NNS','IN','AB','interest5'
'15','X','short','in','2X391','national','AB','X','JJ','IN','AB','NP','interest5'
'system','X','short','totaled','nearly','38','NP','X','JJ','VBD','RB','AB','interest5'
'which','a','short','position','of','at','WDT','DT','JJ','NN','IN','IN','interest5'
'have','no','immediate','in','buying','a','VBP','DT','JJ','IN','VBG','DT','interest1'
'of','conflict','of','with','its','audit','IN','NN','IN','IN','PPX','NN','interest4'
'nXt','have','any','in','acquiring','a','RB','VB','DT','IN','VBG','DT','interest1'
'NULL','NULL','with','rates','a','full','NULL','NULL','IN','NNS','DT','JJ','interest6'
'NULL','the','average','rate','on','a','NULL','DT','JJ','NN','IN','DT','interest6'
'not','only','are','rates','in','general','RB','RB','VBP','NNS','IN','JJ','interest6'
'month','X','as','rates','climbed','steadily','NN','X','IN','NNS','VBD','RB','interest6'
'represent','their','own','face','an','additional','VB','PPX','JJ','VBP','DT','JJ','interest4'
'to','happen','to','rates','X','NULL','TO','VB','TO','NNS','X','NULL','interest6'
'economy','will','keep','rates','from','falling','NN','MD','VB','NNS','IN','VBG','interest6'
'deal','later','if','rates','fall','further','NN','RB','IN','NNS','VBP','RB','interest6'
'significantly','less','in','than','they','would','RB','JJR','IN','IN','PP','MD','interest6'
'where','you','think','rates','are','headed','WRB','PP','VBP','NNS','VBP','VBN','interest6'
'25X77','%','equity','in','block','21024a','AB','NN','NN','IN','NP','NP','interest5'
'banks','X','base','rates','will','remain','NNS','POS','NN','NNS','MD','VB','interest6'
'government','has','raised','rates','10','times','NN','VBZ','VBN','NNS','AB','NNS','interest6'
'lawson','reiterated','that','rates','will','remain','NP','VBD','IN','NNS','MD','VB','interest6'
'government','to','raise','rates','again','X','NN','TO','VB','NNS','RB','X','interest6'
'particularly','as','higher','rates','could','raise','RB','IN','JJR','NNS','MD','VB','interest6'
'respond','to','high','rates','X','NULL','VB','TO','JJ','NNS','X','NULL','interest6'
'NULL','NULL','annualized','rates','on','certain','NULL','NULL','VBN','NNS','IN','JJ','interest6'
'received','the','promised','payments','X','NULL','VBD','DT','VBN','NNS','X','NULL','interest6'
'in','exchange','for','on','the','smallest','IN','NN','IN','IN','DT','JJS','interest6'
'domestic','cellular','telephone','with','bellsouth','X','JJ','JJ','NN','IN','NP','X','interest5'
'venice','magistrate','Xs','was','understandable','X','NP','NN','POS','VBD','JJ','X','interest1'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','IN','VBP','interest6'
'X','concern','has','in','many','businesses','X','NN','VBZ','IN','JJ','NNS','interest5'
'carrying','a','lower','rate','but','ranking','VBG','DT','JJR','NN','CC','VBG','interest6'
'X','of','which','will','be','currently','X','IN','WDT','MD','VB','RB','interest6'
'X','which','pay','in','the','form','X','WDT','VBP','IN','DT','NN','interest6'
'have','to','allow','rates','to','fall','VB','TO','VB','NNS','TO','VB','interest6'
'a','rise','in','rates','X','NULL','DT','NN','IN','NNS','X','NULL','interest6'
'market','X','higher','rates','seem','very','NN','X','JJR','NNS','VBP','RB','interest6'
'up','on','overdue','payments','X','bankers','IN','IN','JJ','NNS','X','NNS','interest6'
'million','behind','on','payments','to','its','AB','IN','IN','NNS','TO','PPX','interest6'
'reducing','debt','and','X','according','to','VBG','NN','CC','X','VBG','TO','interest6'
'or','in','its','payments','X','NULL','CC','IN','PPX','NNS','X','NULL','interest6'
'publisher','of','special','magazines','X','NULL','NN','IN','JJ','NNS','X','NULL','interest3'
'law','firms','X','in','europe','has','NN','NNS','POS','IN','NP','VBZ','interest1'
'bank','Xs','longXterm','in','china','X','NN','POS','JJ','IN','NP','X','interest4'
'Xs','conflict','of','was','never','disclosed','POS','NN','IN','VBD','RB','VBN','interest4'
'oryx','sold','its','in','about','107','NP','VBD','PPX','IN','IN','AB','interest5'
'in','a','euroyen','rate','futures','contract','IN','DT','NP','NN','NNS','NN','interest6'
'other','bidders','expressed','in','buying','some','JJ','NNS','VBD','IN','VBG','DT','interest1'
'schroder','and','other','X','NULL','NULL','NP','CC','JJ','X','NULL','NULL','interest5'
'lower','shortXterm','domestic','rates','and','higher','JJR','JJ','JJ','NNS','CC','JJR','interest6'
'fluctuations','and','higher','rates','X','traders','NNS','CC','JJR','NNS','X','NNS','interest6'
'to','receive','buying','following','friday','Xs','TO','VB','NN','VBG','NP','POS','interest1'
'a','lack','of','in','fresh','positions','DT','NN','IN','IN','JJ','NNS','interest1'
'X','continued','lively','from','foreign','investors','X','VBD','JJ','IN','JJ','NNS','interest1'
'apparent','reprieve','in','rate','speculation','X','JJ','NN','IN','NN','NN','X','interest6'
'in','paris','X','rate','concerns','acted','IN','NP','X','NN','NNS','VBD','interest6'
'of','higher','european','rates','in','the','IN','JJR','JJ','NNS','IN','DT','interest6'
'and','certain','other','X','NULL','NULL','CC','JJ','JJ','X','NULL','NULL','interest5'
'payments','to','minority','X','jumped','to','NNS','TO','NN','X','VBD','TO','interest5'
'15','%','voting','in','united','X','AB','NN','NN','IN','NP','X','interest5'
'in','washington','X','is','building','on','IN','NP','X','VBZ','VBG','IN','interest1'
'and','the','public','has','been','served','CC','DT','JJ','VBZ','VBN','VBN','interest4'
'bank','might','raise','rates','X','NULL','NN','MD','VB','NNS','X','NULL','interest6'
'while','uXsX','inflationXadjusted','rates','are','high','IN','NP','JJ','NNS','VBP','JJ','interest6'
'dollar','by','lowering','rates','clearly','have','NN','IN','VBG','NNS','RB','VBP','interest6'
'nXt','raise','domestic','rates','and','the','RB','VB','JJ','NNS','CC','DT','interest6'
'a','60','%','in','the','cit','DT','AB','NN','IN','DT','NP','interest5'
'beyond','its','snackXfood','X','NULL','NULL','IN','PPX','NN','X','NULL','NULL','interest5'
'there','is','growing','among','precious','metals','EX','VBZ','VBG','IN','JJ','NNS','interest1'
'a','35','%','it','bought','in','DT','AB','NN','PP','VBD','IN','interest5'
'X','which','has','in','financial','services','X','WDT','VBZ','IN','JJ','NNS','interest5'
'swap','markets','for','rates','and','currencies','NN','NNS','IN','NNS','CC','NNS','interest6'
'dampen','foreign','buying','X','NULL','NULL','VB','JJ','NN','X','NULL','NULL','interest1'
'seen','some','emerging','in','the','twoXyear','VBN','DT','VBG','IN','DT','JJ','interest1'
'will','show','strong','for','the','twoXyear','MD','VB','JJ','IN','DT','JJ','interest1'
'a','lot','of','in','lomas','paper','DT','NN','IN','IN','NP','NN','interest1'
'bank','will','raise','rates','sometime','next','NN','MD','VB','NNS','RB','JJ','interest6'
'had','expressed','an','in','buying','the','VBD','VBN','DT','IN','VBG','DT','interest1'
'oakes','said','the','that','other','insurers','NP','VBD','DT','IN','JJ','NNS','interest1'
'actively','maintain','their','X','160','of','RB','VBP','PPX','X','AB','IN','interest5'
'a','beautiful','love','for','drX','kulani','DT','JJ','NN','IN','NP','NP','interest3'
'individual','abilities','and','X','an','aspiring','JJ','NNS','CC','X','DT','JJ','interest3'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'all','outlays','except','payments','X','climbed','DT','NNS','IN','NNS','X','VBD','interest6'
'unable','to','meet','payments','on','its','JJ','TO','VB','NNS','IN','PPX','interest6'
'for','north','american','and','the','unilateralist','IN','JJ','JJ','CC','DT','JJ','interest4'
'manufacturing','and','marketing','X','NULL','NULL','NN','CC','NN','X','NULL','NULL','interest5'
'to','bring','down','rates','a','little','TO','VB','RP','NNS','DT','JJ','interest6'
'primarily','on','high','rates','and','reduced','RB','IN','JJ','NNS','CC','JJ','interest6'
'earning','a','healthy','rate','on','its','VBG','DT','JJ','NN','IN','PPX','interest6'
'about','their','possible','in','jaguar','X','IN','PPX','JJ','IN','NP','X','interest1'
'in','the','social','to','stop','this','IN','DT','JJ','TO','VB','DT','interest4'
'a','5','%','rate','on','bonds','DT','AB','NN','NN','IN','NNS','interest6'
'consumer','Xs','best','X','NULL','NULL','NN','POS','JJS','X','NULL','NULL','interest4'
'peru','could','resume','payments','if','it','NP','MD','VB','NNS','IN','PP','interest6'
'representation','of','local','in','congress','and','NN','IN','JJ','IN','NP','CC','interest4'
'say','that','local','receive','a','hearing','VB','IN','JJ','VBP','DT','NN','interest4'
'has','any','financial','in','the','agency','VBZ','DT','JJ','IN','DT','NN','interest5'
'either','a','belowXmarket','rate','or','a','CC','DT','JJ','NN','CC','DT','interest6'
'reduce','the','high','rates','it','had','VB','DT','JJ','NNS','PP','VBD','interest6'
'NULL','nonetheless','X','rates','remain','high','NULL','RB','X','NNS','VBP','JJ','interest6'
'12','years','without','X','NULL','NULL','AB','NNS','IN','X','NULL','NULL','interest6'
'to','acquire','an','in','cooker','or','TO','VB','DT','IN','NP','CC','interest5'
'attracted','the','most','from','the','japanese','VBN','DT','JJS','IN','DT','NPS','interest1'
'also','has','sparked','from','the','big','RB','VBZ','VBN','IN','DT','NP','interest1'
'a','15','%','in','sybase','incX','DT','AB','NN','IN','NP','NP','interest5'
'acquired','a','minority','in','another','closely','VBD','DT','NN','IN','DT','RB','interest5'
'fired','X','and','payments','do','nXt','VBN','X','CC','NNS','VBP','RB','interest6'
'quick','to','cut','rates','this','summer','JJ','TO','VB','NNS','DT','NN','interest6'
'bring','on','higher','rates','X','which','VB','RP','JJR','NNS','X','WDT','interest6'
'to','shareholders','X','X','the','new','TO','NNS','POS','X','DT','JJ','interest4'
'the','compounding','of','and','divestiture','of','DT','NN','IN','CC','NN','IN','interest6'
'small','increases','in','rates','X','NULL','JJ','NNS','IN','NNS','X','NULL','interest6'
'and','other','film','in','the','netherlands','CC','JJ','NN','IN','DT','NP','interest5'
'accrued','but','unpaid','to','the','redemption','JJ','CC','JJ','TO','DT','NN','interest6'
'is','widespread','that','rates','will','drop','VBZ','JJ','IN','NNS','MD','VB','interest6'
'managers','expect','lower','rates','this','fall','NNS','VBP','JJR','NNS','DT','NN','interest6'
'that','high','uXsX','rates','are','keeping','DT','JJ','NP','NNS','VBP','VBG','interest6'
'are','predicting','lower','rates','over','the','VBP','VBG','JJR','NNS','IN','DT','interest6'
'they','expect','lower','rates','is','low','PP','VBP','JJR','NNS','VBZ','RB','interest6'
'would','drive','up','rates','X','NULL','MD','VB','RP','NNS','X','NULL','interest6'
'some','traders','fear','rates','have','nowhere','DT','NNS','VBP','NNS','VBP','RB','interest6'
'contrarians','right','that','rates','will','soon','NNS','JJ','IN','NNS','MD','RB','interest6'
'appreciative','of','the','shown','X','NULL','JJ','IN','DT','VBN','X','NULL','interest1'
'shareholder','and','employee','X','NULL','NULL','NN','CC','NN','X','NULL','NULL','interest4'
'failed','to','pay','due','septX','1','VBD','TO','VB','JJ','NP','AB','interest6'
'a','pooling','of','X','which','combines','DT','NN','IN','X','WDT','VBZ','interest5'
'acquire','a','controlling','and','implement','a','VB','DT','JJ','CC','VB','DT','interest5'
'nXt','exhibited','exceptional','in','helping','shareholders','RB','VBD','JJ','IN','VBG','NNS','interest1'
'if','it','lowered','rates','X','NULL','IN','PP','VBD','NNS','X','NULL','interest6'
'if','it','lowered','rates','X','NULL','IN','PP','VBD','NNS','X','NULL','interest6'
'reserve','to','cut','rates','to','reduce','NP','TO','VB','NNS','TO','VB','interest6'
'the','absence','of','rate','changes','X','DT','NN','IN','NN','NNS','X','interest6'
'X','pursue','other','X','NULL','NULL','X','VB','JJ','X','NULL','NULL','interest3'
'shares','of','beneficial','X','via','prudentialXbache','NNS','IN','JJ','X','IN','NP','interest5'
'senior','limited','partnership','X','via','goldman','JJ','NP','NP','X','IN','NP','interest5'
'15','%','voting','in','united','X','AB','NN','JJ','IN','NP','X','interest5'
'17X33','billion','in','last','month','on','AB','AB','IN','JJ','NN','IN','interest6'
'half','of','its','in','mitsubishi','motors','NN','IN','PPX','IN','NP','NPS','interest5'
'legal','fees','and','on','the','judgment','JJ','NNS','CC','IN','DT','NN','interest6'
'its','45','%','in','korea','industrial','PPX','AB','NN','IN','NP','NP','interest5'
'for','the','equity','he','acquired','X','IN','DT','NN','PP','VBD','X','interest5'
'NULL','NULL','investor','in','summit','technology','NULL','NULL','NN','IN','NP','NP','interest1'
'has','raised','the','rates','on','its','VBZ','VBN','DT','NNS','IN','PPX','interest6'
'NULL','NULL','investor','was','mainly','targeted','NULL','NULL','NN','VBD','RB','VBN','interest1'
'directions','and','domestic','rates','X','institutional','NNS','CC','JJ','NNS','X','JJ','interest6'
'X','by','keeping','rates','high','to','X','IN','VBG','NNS','JJ','TO','interest6'
'to','the','national','and','concentrating','on','TO','DT','JJ','CC','VBG','IN','interest4'
'attacking','long','entrenched','X','something','few','VBG','RB','VBN','X','NN','JJ','interest4'
'in','west','german','rates','X','said','IN','JJ','JJ','NNS','X','VBD','interest6'
'forcing','up','market','rates','this','summer','VBG','RP','NN','NNS','DT','NN','interest6'
'said','west','german','rates','are','still','VBD','JJ','JJ','NNS','VBP','RB','interest6'
'west','purchased','an','in','a','uXkX','NP','VBD','DT','IN','DT','NP','interest5'
'a','lack','of','in','international','markets','DT','NN','IN','IN','JJ','NNS','interest1'
'Xd','protect','their','X','NULL','NULL','MD','VB','PPX','X','NULL','NULL','interest4'
'payments','to','minority','rose','15','%','NNS','TO','NN','VBD','AB','NN','interest5'
'move','to','let','rates','fall','in','NN','TO','VB','NNS','VB','IN','interest6'
'steadily','pushed','up','rates','to','curb','RB','VBD','RP','NNS','TO','VB','interest6'
'payments','to','minority','nearly','tripled','in','NNS','TO','NN','RB','VBD','IN','interest5'
'look','at','the','rate','X','is','NN','IN','DT','NN','X','VBZ','interest6'
'NULL','NULL','NULL','rates','can','fluctuate','NULL','NULL','NULL','NNS','MD','VB','interest6'
'pay','principal','and','and','never','went','VB','NN','CC','CC','RB','VBD','interest6'
'this','concern','with','in','engineering','and','DT','NN','IN','IN','NN','CC','interest5'
'against','their','own','to','have','done','IN','PPX','JJ','TO','VB','VBN','interest4'
'holding','company','with','in','coating','products','VBG','NN','IN','IN','NN','NNS','interest5'
'continued','to','generate','X','NULL','NULL','VBN','TO','VB','X','NULL','NULL','interest1'
'traders','said','retail','in','bonds','has','NNS','VBD','JJ','IN','NNS','VBZ','interest1'
'in','the','best','of','shareholders','and','IN','DT','JJS','IN','NNS','CC','interest4'
'position','through','rising','rates','during','1987','NN','IN','VBG','NNS','IN','AB','interest6'
'X','which','has','in','process','control','X','WDT','VBZ','IN','NN','NN','interest5'
'multinational','giant','with','including','communications','X','JJ','NN','IN','VBG','NNS','X','interest5'
'this','settlement','with','X','X','mrX','DT','NN','IN','X','X','NP','interest1'
'its','X','supreme','X','may','withdraw','PPX','X','NN','X','MD','VB','interest4'
'NULL','NULL','short','for','the','month','NULL','NULL','JJ','IN','DT','NN','interest5'
'board','X','short','slipped','to','547X347X585','NP','X','JJ','VBD','TO','AB','interest5'
'amex','X','short','reached','51X887X168','shares','NP','X','JJ','VBD','AB','NNS','interest5'
'NULL','NULL','short','is','the','number','NULL','NULL','JJ','VBZ','DT','NN','interest5'
'increase','in','short','bullish','because','the','NN','IN','JJ','JJ','IN','DT','interest5'
'fluctuation','in','short','of','certain','stocks','NN','IN','JJ','IN','JJ','NNS','interest5'
'big','board','short','ratio','rose','to','NP','NP','JJ','NN','VBD','TO','interest5'
'the','total','short','position','X','NULL','DT','JJ','JJ','NN','X','NULL','interest5'
'drop','in','short','volume','was','that','NN','IN','JJ','NN','VBD','IN','interest5'
'which','a','short','position','of','at','WDT','DT','JJ','NN','IN','IN','interest5'
'take','a','special','in','me','X','VB','DT','JJ','IN','PP','X','interest1'
'payments','to','minority','rose','15','%','NNS','TO','NN','VBD','AB','NN','interest5'
'as','high','uXkX','rates','and','rising','IN','JJ','NP','NNS','CC','VBG','interest6'
'and','earnings','before','X','taxes','and','CC','NNS','IN','X','NNS','CC','interest6'
'NULL','its','net','expenses','were','X','NULL','PPX','JJ','NNS','VBD','X','interest6'
'belowXmarket','6X25','%','rate','X','NULL','JJ','AB','NN','NN','X','NULL','interest6'
'as','unemployment','outrank','rates','as','economic','IN','NN','VBP','NNS','IN','JJ','interest6'
'voters','X','wide','are','nXt','reflected','NNS','POS','JJ','VBP','RB','VBN','interest3'
'reserves','X','minority','X','preferred','stock','NNS','X','NN','X','VBN','NN','interest5'
'company','Xs','longXterm','to','remain','independent','NN','POS','JJ','TO','VB','JJ','interest4'
'ford','motor','Xs','in','jaguar','continued','NP','NP','POS','IN','NP','VBD','interest1'
'continued','to','stir','in','the','foreign','VBD','TO','VB','IN','DT','JJ','interest1'
'federal','reserve','lower','rates','X','a','NP','NP','JJR','NNS','X','DT','interest6'
'boosting','their','own','rates','at','the','VBG','PPX','JJ','NNS','IN','DT','interest6'
'currencies','and','domestic','rates','remained','strong','NNS','CC','JJ','NNS','VBD','JJ','interest6'
'west','germany','on','rates','X','as','NP','NP','IN','NNS','X','IN','interest6'
'motor','announced','its','earlier','this','week','NP','VBD','PPX','RBR','DT','NN','interest1'
'a','15','%','X','then','valued','DT','AB','NN','X','RB','VBN','interest5'
'not','painewebber','Xs','in','doing','business','RB','NP','POS','IN','VBG','NN','interest1'
'possible','conflict','of','X','with','painewebber','JJ','NN','IN','X','IN','NP','interest4'
'no','conflict','of','should','arise','X','DT','NN','IN','MD','VB','X','interest4'
'X','in','the','of','preserving','lowXincome','X','IN','DT','IN','VBG','JJ','interest4'
'had','to','pay','on','money','borrowed','VBN','TO','VB','IN','NN','VBN','interest6'
'to','leave','german','rates','unchanged','and','TO','VB','JJ','NNS','JJ','CC','interest6'
'to','raise','german','rates','before','the','TO','VB','JJ','NNS','IN','DT','interest6'
'domestic','cellular','telephone','with','bellsouth','in','JJ','JJ','NN','IN','NP','IN','interest5'
'bundesbank','left','important','rates','unchanged','X','NP','VBD','JJ','NNS','JJ','X','interest6'
'will','eventually','push','rates','higher','X','MD','RB','VB','NNS','JJR','X','interest6'
'on','the','X','indicated','X','by','IN','DT','X','VBN','X','IN','interest1'
'just','from','the','credited','by','funds','RB','IN','DT','VBN','IN','NNS','interest6'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'NULL','westinghouse','has','in','electrical','products','NULL','NP','VBZ','IN','JJ','NNS','interest5'
'the','very','best','of','aXm','Xs','DT','RB','JJS','IN','NP','POS','interest4'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','IN','VBP','interest6'
'that','has','missed','payments','on','its','WDT','VBZ','VBN','NNS','IN','PPX','interest6'
'are','larger','and','rates','are','1','VBP','JJR','CC','NNS','VBP','AB','interest6'
'wrongXway','bet','on','rates','X','it','JJ','NN','IN','NNS','X','PP','interest6'
'debt','and','cut','expense','X','slash','NN','CC','VB','NN','X','VB','interest6'
'big','board','short','fell','1X3','%','NP','NP','JJ','VBD','AB','NN','interest5'
'NULL','hanson','has','in','chemicals','X','NULL','NP','VBZ','IN','NNS','X','interest5'
'a','32','%','X','NULL','NULL','DT','AB','NN','X','NULL','NULL','interest5'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'X','the','common','of','common','ownership','X','DT','JJ','IN','JJ','NN','interest4'
'money','at','what','rates','X','NULL','NN','IN','WDT','NNS','X','NULL','interest6'
'purchased','a','oneXthird','in','new','japan','VBN','DT','JJ','IN','NP','NP','interest5'
'which','also','has','in','restaurants','and','WDT','RB','VBZ','IN','NNS','CC','interest5'
'industrial','conglomerate','whose','in','steel','X','JJ','NN','WPX','IN','NN','X','interest5'
'to','generate','wide','because','there','has','TO','VB','JJ','IN','EX','VBZ','interest1'
'to','support','our','in','this','opportunity','TO','VB','PPX','IN','DT','NN','interest1'
'between','consumers','X','in','getting','old','IN','NNS','POS','IN','VBG','JJ','interest4'
'cheaply','and','their','in','seeing','new','RB','CC','PPX','IN','VBG','JJ','interest4'
'costs','X','and','rates','threaten','growth','NNS','X','CC','NNS','VBP','NN','interest6'
'a','company','with','in','electronics','X','DT','NN','IN','IN','NN','X','interest5'
'most','of','its','to','olympia','X','RBS','IN','PPX','TO','NP','CC','interest5'
'caused','by','divergent','rates','X','NULL','VBN','IN','JJ','NNS','X','NULL','interest6'
'equality','X','the','rate','on','british','NN','X','DT','NN','IN','JJ','interest6'
